"site","round","rep","species","date","n_germ","siterep","treatment"
"GB",1,1,"TO","2020-01-21",NA,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-22",NA,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-23",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-24",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-25",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-26",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-27",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-28",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-29",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-30",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-01-31",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-02-01",NA,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-02-02",NA,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-02-03",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-02-04",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-02-05",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-02-06",0,"GB _ 1","snow reduction"
"GB",1,1,"TO","2020-02-07",0,"GB _ 1","snow reduction"
"GB",1,2,"TO","2020-01-21",NA,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-22",NA,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-23",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-24",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-25",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-26",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-27",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-28",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-29",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-30",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-01-31",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-02-01",NA,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-02-02",NA,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-02-03",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-02-04",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-02-05",0,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-02-06",1,"GB _ 2","snow reduction"
"GB",1,2,"TO","2020-02-07",0,"GB _ 2","snow reduction"
"GB",1,3,"TO","2020-01-21",NA,"GB _ 3","control"
"GB",1,3,"TO","2020-01-22",NA,"GB _ 3","control"
"GB",1,3,"TO","2020-01-23",0,"GB _ 3","control"
"GB",1,3,"TO","2020-01-24",0,"GB _ 3","control"
