"site","round","rep","species","start_date","NOTES","date","n_germ"
"GB","1","1","DC",2020-01-22,NA,2020-01-21,NA
"GB","1","1","DC",2020-01-22,NA,2020-01-22,"0"
"GB","1","1","DC",2020-01-22,NA,2020-01-23,"0"
"GB","1","1","DC",2020-01-22,NA,2020-01-24,"0"
"GB","1","1","DC",2020-01-22,NA,2020-01-25,"9"
"GB","1","1","DC",2020-01-22,NA,2020-01-26,"4"
"GB","1","1","DC",2020-01-22,NA,2020-01-27,"0"
"GB","1","1","DC",2020-01-22,NA,2020-01-28,"1"
"GB","1","1","DC",2020-01-22,NA,2020-01-29,"0"
"GB","1","1","DC",2020-01-22,NA,2020-01-30,"4"
"GB","1","1","DC",2020-01-22,NA,2020-01-31,"15"
"GB","1","1","DC",2020-01-22,NA,2020-02-01,"NA"
"GB","1","1","DC",2020-01-22,NA,2020-02-02,"NA"
"GB","1","1","DC",2020-01-22,NA,2020-02-03,"1"
"GB","1","1","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","1","DC",2020-01-22,NA,2020-02-05,"2"
"GB","1","1","DC",2020-01-22,NA,2020-02-06,"1"
"GB","1","1","DC",2020-01-22,NA,2020-02-07,"0"
"GB","1","2","DC",2020-01-22,NA,2020-01-21,NA
"GB","1","2","DC",2020-01-22,NA,2020-01-22,"1"
"GB","1","2","DC",2020-01-22,NA,2020-01-23,"2"
"GB","1","2","DC",2020-01-22,NA,2020-01-24,"2"
"GB","1","2","DC",2020-01-22,NA,2020-01-25,"7"
"GB","1","2","DC",2020-01-22,NA,2020-01-26,"16"
"GB","1","2","DC",2020-01-22,NA,2020-01-27,"7"
"GB","1","2","DC",2020-01-22,NA,2020-01-28,"0"
"GB","1","2","DC",2020-01-22,NA,2020-01-29,"0"
"GB","1","2","DC",2020-01-22,NA,2020-01-30,"5"
"GB","1","2","DC",2020-01-22,NA,2020-01-31,"7"
"GB","1","2","DC",2020-01-22,NA,2020-02-01,"NA"
"GB","1","2","DC",2020-01-22,NA,2020-02-02,"NA"
"GB","1","2","DC",2020-01-22,NA,2020-02-03,"0"
"GB","1","2","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","2","DC",2020-01-22,NA,2020-02-05,"0"
